Sexo	Grupos y subgrupos principales de la CNO-11	Media y percentiles	Periodo	Total
Ambos sexos	22 Profesionales de la enseñanza infantil, primaria, secundaria y postsecundaria	Percentil 25	2018	18.326,39
Ambos sexos	22 Profesionales de la enseñanza infantil, primaria, secundaria y postsecundaria	Percentil 50	2018	30.414,23
Ambos sexos	22 Profesionales de la enseñanza infantil, primaria, secundaria y postsecundaria	Percentil 75	2018	35.063,66
Ambos sexos	22 Profesionales de la enseñanza infantil, primaria, secundaria y postsecundaria	Percentil 90	2018	41.019,05
Ambos sexos	23 Otros profesionales de la enseñanza	Media	2018	15.286,41
Ambos sexos	23 Otros profesionales de la enseñanza	Percentil 10	2018	3.012,75
Ambos sexos	23 Otros profesionales de la enseñanza	Percentil 25	2018	5.858,97
Ambos sexos	23 Otros profesionales de la enseñanza	Percentil 50	2018	12.399,58
Ambos sexos	23 Otros profesionales de la enseñanza	Percentil 75	2018	22.883,51
Ambos sexos	23 Otros profesionales de la enseñanza	Percentil 90	2018	31.983,41
Ambos sexos	C Otros técnicos y profesionales científicos e intelectuales	Media	2018	37.908,75
Ambos sexos	C Otros técnicos y profesionales científicos e intelectuales	Percentil 10	2018	17.154,78
Ambos sexos	C Otros técnicos y profesionales científicos e intelectuales	Percentil 25	2018	24.072,8
Ambos sexos	C Otros técnicos y profesionales científicos e intelectuales	Percentil 50	2018	34.318,45
Ambos sexos	C Otros técnicos y profesionales científicos e intelectuales	Percentil 75	2018	48.233,4
Ambos sexos	C Otros técnicos y profesionales científicos e intelectuales	Percentil 90	2018	63.764,08
Ambos sexos	24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías	Media	2018	38.628,53
Ambos sexos	24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías	Percentil 10	2018	17.844,06
Ambos sexos	24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías	Percentil 25	2018	25.085
Ambos sexos	24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías	Percentil 50	2018	34.921,15
Ambos sexos	24 Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías	Percentil 75	2018	48.869,98
