Tipo de jornada	Ocupación	Decil	Periodo	Total
Total	5 Trabajadores de los servicios de restauración, personales, protección y vendedores	6	2023	2.060,3
Total	5 Trabajadores de los servicios de restauración, personales, protección y vendedores	6	2022	1.912,3
Total	5 Trabajadores de los servicios de restauración, personales, protección y vendedores	6	2021	1.863
Total	5 Trabajadores de los servicios de restauración, personales, protección y vendedores	6	2020	1.821,4
Total	5 Trabajadores de los servicios de restauración, personales, protección y vendedores	6	2019	1.787,4
Total	5 Trabajadores de los servicios de restauración, personales, protección y vendedores	6	2018	1.752,3
Total	5 Trabajadores de los servicios de restauración, personales, protección y vendedores	6	2017	1.697,4
Total	5 Trabajadores de los servicios de restauración, personales, protección y vendedores	6	2016	1.699,9
Total	5 Trabajadores de los servicios de restauración, personales, protección y vendedores	6	2015	1.704
Total	5 Trabajadores de los servicios de restauración, personales, protección y vendedores	6	2014	1.704,5
Total	5 Trabajadores de los servicios de restauración, personales, protección y vendedores	6	2013	1.698,8
Total	5 Trabajadores de los servicios de restauración, personales, protección y vendedores	6	2012	1.682,7
Total	5 Trabajadores de los servicios de restauración, personales, protección y vendedores	6	2011	1.674,6
Total	5 Trabajadores de los servicios de restauración, personales, protección y vendedores	7	2024	2.436,8
Total	5 Trabajadores de los servicios de restauración, personales, protección y vendedores	7	2023	2.348,4
Total	5 Trabajadores de los servicios de restauración, personales, protección y vendedores	7	2022	2.176,7
Total	5 Trabajadores de los servicios de restauración, personales, protección y vendedores	7	2021	2.140,8
Total	5 Trabajadores de los servicios de restauración, personales, protección y vendedores	7	2020	2.100,4
Total	5 Trabajadores de los servicios de restauración, personales, protección y vendedores	7	2019	2.065,1
Total	5 Trabajadores de los servicios de restauración, personales, protección y vendedores	7	2018	2.016,3
Total	5 Trabajadores de los servicios de restauración, personales, protección y vendedores	7	2017	1.971,6
Total	5 Trabajadores de los servicios de restauración, personales, protección y vendedores	7	2016	1.960,3
Total	5 Trabajadores de los servicios de restauración, personales, protección y vendedores	7	2015	1.946,4
Total	5 Trabajadores de los servicios de restauración, personales, protección y vendedores	7	2014	1.986,2
Total	5 Trabajadores de los servicios de restauración, personales, protección y vendedores	7	2013	1.967,1
Total	5 Trabajadores de los servicios de restauración, personales, protección y vendedores	7	2012	1.939,3
Total	5 Trabajadores de los servicios de restauración, personales, protección y vendedores	7	2011	1.918,7
Total	5 Trabajadores de los servicios de restauración, personales, protección y vendedores	8	2024	2.867,4
Total	5 Trabajadores de los servicios de restauración, personales, protección y vendedores	8	2023	2.780
Total	5 Trabajadores de los servicios de restauración, personales, protección y vendedores	8	2022	2.565,5
Total	5 Trabajadores de los servicios de restauración, personales, protección y vendedores	8	2021	2.533,9
Total	5 Trabajadores de los servicios de restauración, personales, protección y vendedores	8	2020	2.505,7
Total	5 Trabajadores de los servicios de restauración, personales, protección y vendedores	8	2019	2.424,3
Total	5 Trabajadores de los servicios de restauración, personales, protección y vendedores	8	2018	2.436,2
Total	5 Trabajadores de los servicios de restauración, personales, protección y vendedores	8	2017	2.359,1
Total	5 Trabajadores de los servicios de restauración, personales, protección y vendedores	8	2016	2.352,4
Total	5 Trabajadores de los servicios de restauración, personales, protección y vendedores	8	2015	2.367,3
Total	5 Trabajadores de los servicios de restauración, personales, protección y vendedores	8	2014	2.364,1
Total	5 Trabajadores de los servicios de restauración, personales, protección y vendedores	8	2013	2.355,1
Total	5 Trabajadores de los servicios de restauración, personales, protección y vendedores	8	2012	2.290,7
Total	5 Trabajadores de los servicios de restauración, personales, protección y vendedores	8	2011	2.293,6
Total	5 Trabajadores de los servicios de restauración, personales, protección y vendedores	9	2024	3.554,7
Total	5 Trabajadores de los servicios de restauración, personales, protección y vendedores	9	2023	3.404,6
Total	5 Trabajadores de los servicios de restauración, personales, protección y vendedores	9	2022	3.192,8
Total	5 Trabajadores de los servicios de restauración, personales, protección y vendedores	9	2021	3.210,9
Total	5 Trabajadores de los servicios de restauración, personales, protección y vendedores	9	2020	3.170,4
Total	5 Trabajadores de los servicios de restauración, personales, protección y vendedores	9	2019	3.012,9
Total	5 Trabajadores de los servicios de restauración, personales, protección y vendedores	9	2018	2.982,2
Total	5 Trabajadores de los servicios de restauración, personales, protección y vendedores	9	2017	2.931,1
Total	5 Trabajadores de los servicios de restauración, personales, protección y vendedores	9	2016	2.894,9
Total	5 Trabajadores de los servicios de restauración, personales, protección y vendedores	9	2015	2.911,5
Total	5 Trabajadores de los servicios de restauración, personales, protección y vendedores	9	2014	2.916
Total	5 Trabajadores de los servicios de restauración, personales, protección y vendedores	9	2013	2.897,7
Total	5 Trabajadores de los servicios de restauración, personales, protección y vendedores	9	2012	2.828,9
Total	5 Trabajadores de los servicios de restauración, personales, protección y vendedores	9	2011	2.826,1
Total	5 Trabajadores de los servicios de restauración, personales, protección y vendedores	10	2024	4.888,6
Total	5 Trabajadores de los servicios de restauración, personales, protección y vendedores	10	2023	4.492,4
Total	5 Trabajadores de los servicios de restauración, personales, protección y vendedores	10	2022	4.356,9
Total	5 Trabajadores de los servicios de restauración, personales, protección y vendedores	10	2021	4.184,2
Total	5 Trabajadores de los servicios de restauración, personales, protección y vendedores	10	2020	4.198,1
Total	5 Trabajadores de los servicios de restauración, personales, protección y vendedores	10	2019	4.018,1
Total	5 Trabajadores de los servicios de restauración, personales, protección y vendedores	10	2018	3.962,9
Total	5 Trabajadores de los servicios de restauración, personales, protección y vendedores	10	2017	3.870,1
Total	5 Trabajadores de los servicios de restauración, personales, protección y vendedores	10	2016	3.747,6
Total	5 Trabajadores de los servicios de restauración, personales, protección y vendedores	10	2015	3.913,8
Total	5 Trabajadores de los servicios de restauración, personales, protección y vendedores	10	2014	3.708,7
Total	5 Trabajadores de los servicios de restauración, personales, protección y vendedores	10	2013	3.720,5
Total	5 Trabajadores de los servicios de restauración, personales, protección y vendedores	10	2012	3.715
Total	5 Trabajadores de los servicios de restauración, personales, protección y vendedores	10	2011	3.665,5
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Total	2024	1.840,1
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Total	2023	1.736,1
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Total	2022	1.559,9
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Total	2021	1.518,4
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Total	2020	1.480,3
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Total	2019	1.532,1
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Total	2018	1.514,4
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Total	2017	1.352,1
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Total	2016	1.440,1
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Total	2015	1.329,3
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Total	2014	1.449,5
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Total	2013	1.397,6
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Total	2012	1.347,9
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Total	2011	1.378,3
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	1	2024	694,6
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	1	2023	792,2
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	1	2022	633
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	1	2021	759,9
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	1	2020	539,3
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	1	2019	435,5
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	1	2018	522,9
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	1	2017	570,8
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	1	2016	613,5
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	1	2015	460,4
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	1	2014	521
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	1	2013	504,3
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	1	2012	539,4
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	1	2011	529,4
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	2	2024	1.322,9
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	2	2023	1.236,5
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	2	2022	1.140,8
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	2	2021	1.089,3
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	2	2020	1.065,4
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	2	2019	1.000,6
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	2	2018	912,1
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	2	2017	882,4
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	2	2016	869,2
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	2	2015	827,7
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	2	2014	835,4
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	2	2013	815,8
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	2	2012	861,9
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	2	2011	904,4
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	3	2024	1.494,1
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	3	2023	1.428,8
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	3	2022	1.349,9
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	3	2021	1.256,8
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	3	2020	1.231,4
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	3	2019	1.219,9
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	3	2018	1.162,6
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	3	2017	1.117,7
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	3	2016	1.137
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	3	2015	1.088,8
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	3	2014	1.086,7
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	3	2013	1.108,2
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	3	2012	1.125,4
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	3	2011	1.142,4
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	4	2024	1.687,1
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	4	2023	1.632,2
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	4	2022	1.515,7
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	4	2021	1.457,7
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	4	2020	1.420,1
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	4	2019	1.434
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	4	2018	1.356,6
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	4	2017	1.340,3
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	4	2016	1.336,7
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	4	2015	1.292
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	4	2014	1.309,6
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	4	2013	1.317,6
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	4	2012	1.313,2
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	4	2011	1.324,5
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	5	2024	1.884
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	5	2023	1.831,6
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	5	2022	1.698,5
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	5	2021	1.634,7
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	5	2020	1.616,2
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	5	2019	1.607,1
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	5	2018	1.547,9
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	5	2017	1.477
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	5	2016	1.504,2
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	5	2015	1.501,7
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	5	2014	1.505,6
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	5	2013	1.498,7
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	5	2012	1.484,1
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	5	2011	1.485,5
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	6	2024	2.110,4
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	6	2023	2.044,1
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	6	2022	1.922,3
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	6	2021	1.870,6
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	6	2020	1.794,3
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	6	2019	1.790,1
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	6	2018	1.753,5
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	6	2017	1.695,7
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	6	2016	1.704,4
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	6	2015	1.680,2
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	6	2014	1.701,9
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	6	2013	1.686
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	6	2012	1.678,2
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	6	2011	1.679,3
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	7	2024	2.474,9
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	7	2023	2.341,2
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	7	2022	2.164,4
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	7	2021	2.139,4
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	7	2020	2.106
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	7	2019	2.074,4
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	7	2018	2.023,8
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	7	2017	1.952,3
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	7	2016	1.960,3
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	7	2015	1.965,7
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	7	2014	1.996
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	7	2013	1.971,8
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	7	2012	1.912
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	7	2011	1.935,9
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	8	2024	2.927,5
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	8	2023	2.836
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	8	2022	2.568,8
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	8	2021	2.488
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	8	2020	2.559,9
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	8	2019	2.392,5
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	8	2018	2.407,9
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	8	2017	2.369,9
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	8	2016	2.314,8
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	8	2015	2.286,6
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	8	2014	2.423,6
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	8	2013	2.309
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	8	2012	2.308,4
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	8	2011	2.274
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	9	2024	3.436
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	9	2023	3.569,3
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	9	2022	2.941,1
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	9	2021	3.065,1
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	9	2020	3.068,9
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	9	2019	2.838,1
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	9	2018	2.926,6
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	9	2017	2.829,2
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	9	2016	2.921,1
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	9	2015	2.742
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	9	2014	2.959,7
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	9	2013	3.025,9
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	9	2012	2.921
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	9	2011	2.864,2
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	10	2024	4.394,6
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	10	2023	..
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	10	2022	..
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	10	2021	6.755,3
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	10	2020	..
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	10	2019	3.515,6
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	10	2018	4.242,1
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	10	2017	..
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	10	2016	..
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	10	2015	..
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	10	2014	3.578,8
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	10	2013	..
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	10	2012	..
Total	6 Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	10	2011	..
Total	7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Total	2024	2.141,4
Total	7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Total	2023	2.049,4
Total	7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Total	2022	1.949,3
Total	7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Total	2021	1.899,5
Total	7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Total	2020	1.821
Total	7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Total	2019	1.851,8
Total	7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Total	2018	1.809
Total	7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Total	2017	1.758,1
Total	7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Total	2016	1.735,3
Total	7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Total	2015	1.724,1
Total	7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Total	2014	1.761,9
Total	7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Total	2013	1.805,5
Total	7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Total	2012	1.703,6
Total	7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Total	2011	1.676,1
Total	7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	1	2024	731,8
Total	7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	1	2023	815,2
Total	7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	1	2022	694,3
Total	7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	1	2021	640,9
Total	7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	1	2020	665,3
Total	7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	1	2019	660,6
Total	7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	1	2018	586
Total	7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	1	2017	544,3
Total	7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	1	2016	555,3
Total	7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	1	2015	512
Total	7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	1	2014	495,6
Total	7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	1	2013	432,5
Total	7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	1	2012	483,3
Total	7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	1	2011	545,5
Total	7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	2	2024	1.307,7
Total	7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	2	2023	1.228,1
Total	7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	2	2022	1.147,9
Total	7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	2	2021	1.053,3
Total	7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	2	2020	1.020,7
Total	7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	2	2019	1.027,2
Total	7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	2	2018	916,8
Total	7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	2	2017	874,4
Total	7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	2	2016	867,3
Total	7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	2	2015	826,1
Total	7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	2	2014	817,4
Total	7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	2	2013	824,1
Total	7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	2	2012	831,3
Total	7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	2	2011	875,9
Total	7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	3	2024	1.497,1
Total	7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	3	2023	1.431,1
Total	7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	3	2022	1.340,8
Total	7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	3	2021	1.263,6
Total	7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	3	2020	1.240,1
Total	7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	3	2019	1.224,2
Total	7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	3	2018	1.171,3
Total	7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	3	2017	1.127,3
Total	7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	3	2016	1.114,4
Total	7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	3	2015	1.107,8
Total	7 Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	3	2014	1.116
