Tipo de jornada	Ocupación	Decil	Periodo	Total
Total	1 Directores y gerentes	1	2013	473,6
Total	1 Directores y gerentes	1	2012	465,6
Total	1 Directores y gerentes	1	2011	368,8
Total	1 Directores y gerentes	2	2024	1.304,8
Total	1 Directores y gerentes	2	2023	1.274,9
Total	1 Directores y gerentes	2	2022	1.132,1
Total	1 Directores y gerentes	2	2021	1.072,9
Total	1 Directores y gerentes	2	2020	1.012,5
Total	1 Directores y gerentes	2	2019	1.000
Total	1 Directores y gerentes	2	2018	875,5
Total	1 Directores y gerentes	2	2017	934,4
Total	1 Directores y gerentes	2	2016	885,1
Total	1 Directores y gerentes	2	2015	883,7
Total	1 Directores y gerentes	2	2014	828,7
Total	1 Directores y gerentes	2	2013	819,5
Total	1 Directores y gerentes	2	2012	865,6
Total	1 Directores y gerentes	2	2011	897,4
Total	1 Directores y gerentes	3	2024	1.485,4
Total	1 Directores y gerentes	3	2023	1.426,6
Total	1 Directores y gerentes	3	2022	1.370,5
Total	1 Directores y gerentes	3	2021	1.259,9
Total	1 Directores y gerentes	3	2020	1.237
Total	1 Directores y gerentes	3	2019	1.193,8
Total	1 Directores y gerentes	3	2018	1.114,6
Total	1 Directores y gerentes	3	2017	1.150,8
Total	1 Directores y gerentes	3	2016	1.145,1
Total	1 Directores y gerentes	3	2015	1.112,3
Total	1 Directores y gerentes	3	2014	1.118,2
Total	1 Directores y gerentes	3	2013	1.090,8
Total	1 Directores y gerentes	3	2012	1.106,7
Total	1 Directores y gerentes	3	2011	1.098
Total	1 Directores y gerentes	4	2024	1.687,6
Total	1 Directores y gerentes	4	2023	1.634,2
Total	1 Directores y gerentes	4	2022	1.549,4
Total	1 Directores y gerentes	4	2021	1.427,6
Total	1 Directores y gerentes	4	2020	1.412,5
Total	1 Directores y gerentes	4	2019	1.412,9
Total	1 Directores y gerentes	4	2018	1.334,1
Total	1 Directores y gerentes	4	2017	1.331,6
Total	1 Directores y gerentes	4	2016	1.298,7
Total	1 Directores y gerentes	4	2015	1.334,8
Total	1 Directores y gerentes	4	2014	1.343,7
Total	1 Directores y gerentes	4	2013	1.316,5
Total	1 Directores y gerentes	4	2012	1.327,4
Total	1 Directores y gerentes	4	2011	1.299,2
Total	1 Directores y gerentes	5	2024	1.873,8
Total	1 Directores y gerentes	5	2023	1.812,4
Total	1 Directores y gerentes	5	2022	1.704,6
Total	1 Directores y gerentes	5	2021	1.655,3
Total	1 Directores y gerentes	5	2020	1.629,8
Total	1 Directores y gerentes	5	2019	1.583,8
Total	1 Directores y gerentes	5	2018	1.543,6
Total	1 Directores y gerentes	5	2017	1.489,8
Total	1 Directores y gerentes	5	2016	1.490,9
Total	1 Directores y gerentes	5	2015	1.508,9
Total	1 Directores y gerentes	5	2014	1.492,1
Total	1 Directores y gerentes	5	2013	1.480,5
Total	1 Directores y gerentes	5	2012	1.484
Total	1 Directores y gerentes	5	2011	1.517,9
Total	1 Directores y gerentes	6	2024	2.149,4
Total	1 Directores y gerentes	6	2023	2.006,9
Total	1 Directores y gerentes	6	2022	1.897,4
Total	1 Directores y gerentes	6	2021	1.881,5
Total	1 Directores y gerentes	6	2020	1.849,2
Total	1 Directores y gerentes	6	2019	1.786,1
Total	1 Directores y gerentes	6	2018	1.766,8
Total	1 Directores y gerentes	6	2017	1.679,8
Total	1 Directores y gerentes	6	2016	1.701,8
Total	1 Directores y gerentes	6	2015	1.704,6
Total	1 Directores y gerentes	6	2014	1.749,5
Total	1 Directores y gerentes	6	2013	1.710,8
Total	1 Directores y gerentes	6	2012	1.682
Total	1 Directores y gerentes	6	2011	1.672,6
Total	1 Directores y gerentes	7	2024	2.486,6
Total	1 Directores y gerentes	7	2023	2.348,6
Total	1 Directores y gerentes	7	2022	2.216,4
Total	1 Directores y gerentes	7	2021	2.136,9
Total	1 Directores y gerentes	7	2020	2.115,7
Total	1 Directores y gerentes	7	2019	2.087,3
Total	1 Directores y gerentes	7	2018	2.009,6
Total	1 Directores y gerentes	7	2017	1.992,1
Total	1 Directores y gerentes	7	2016	2.015,6
Total	1 Directores y gerentes	7	2015	1.977,2
Total	1 Directores y gerentes	7	2014	2.006,3
Total	1 Directores y gerentes	7	2013	1.967
Total	1 Directores y gerentes	7	2012	1.959,5
Total	1 Directores y gerentes	7	2011	1.985,1
Total	1 Directores y gerentes	8	2024	2.949,1
Total	1 Directores y gerentes	8	2023	2.825,3
Total	1 Directores y gerentes	8	2022	2.591,7
Total	1 Directores y gerentes	8	2021	2.575
Total	1 Directores y gerentes	8	2020	2.560,5
Total	1 Directores y gerentes	8	2019	2.505,6
Total	1 Directores y gerentes	8	2018	2.405
Total	1 Directores y gerentes	8	2017	2.370,5
Total	1 Directores y gerentes	8	2016	2.359,7
Total	1 Directores y gerentes	8	2015	2.361,1
Total	1 Directores y gerentes	8	2014	2.412,8
Total	1 Directores y gerentes	8	2013	2.364,4
Total	1 Directores y gerentes	8	2012	2.319,7
Total	1 Directores y gerentes	8	2011	2.302,4
Total	1 Directores y gerentes	9	2024	3.607
Total	1 Directores y gerentes	9	2023	3.471
Total	1 Directores y gerentes	9	2022	3.236,7
Total	1 Directores y gerentes	9	2021	3.205,6
Total	1 Directores y gerentes	9	2020	3.221
Total	1 Directores y gerentes	9	2019	3.115,1
Total	1 Directores y gerentes	9	2018	3.030
Total	1 Directores y gerentes	9	2017	3.039,9
